node_id	gene_symbol
345	ASNS
346	ASPH
347	ASPHD2
348	ASPM
349	ASPSCR1
350	ATAD2
351	ATAD2B
352	ATAD3A
353	ATAD5
354	ATE1
355	ATF5
356	ATF6B
357	ATG10
358	ATG12
359	ATG16L2
360	ATG2A
361	ATG3
362	ATG4A
363	ATG4C
364	ATG5
365	ATG7
366	ATG9A
367	ATG9B
368	ATL2
369	ATM
370	ATMIN
371	ATOH1
372	ATOX1
373	ATP10A
374	ATP11B
375	ATP13A1
376	ATP13A4
377	ATP1A2
378	ATP1B1
379	ATP1B1P1
380	ATP1B3
381	ATP23
382	ATP2A2
383	ATP2B3
384	ATP2C2
385	ATP5A1
386	ATP5B
387	ATP5C1
388	ATP5D
389	ATP5EP1
390	ATP5F1
391	ATP5H
392	ATP5L
393	ATP5O
394	ATP5SL
395	ATP6AP2
396	ATP6V0A2
397	ATP6V0C
398	ATP6V0D1
399	ATP6V0D2
400	ATP6V0E1
401	ATP6V1A
402	ATP6V1B2
403	ATP6V1C1
404	ATP6V1H
405	ATP7A
406	ATP8B1
407	ATP8B2
408	ATP9A
409	ATR
410	ATRAID
411	ATRIP
412	ATRN
413	ATRX
414	ATXN1L
415	ATXN2L
416	ATXN3
417	ATXN7
418	AUNIP
419	AURKA
420	AURKAIP1
421	AURKB
422	AVEN
423	AVL9
424	AVPI1
425	AVPR2
426	AXIN1
427	AXL
428	AZGP1
429	AZI2
430	AZIN1
431	B3GNT2
432	B4GALNT3
433	B4GALT1
434	B4GALT3
435	B4GALT4
436	B4GALT5
437	B4GAT1
438	BABAM1
439	BABAM2
440	BACH1
441	BACH2
442	BAD
443	BAG1
444	BAG2
445	BAG3
446	BAG4
447	BAG5
448	BAIAP2L1
449	BAIAP2L2
450	BAK1
451	BAP1
452	BARD1
453	BASP1
454	BAX
455	BAZ1A
456	BAZ1B
457	BBC3
458	BBS9
459	BCAP29
460	BCAP31
461	BCAR1
462	BCAR3
463	BCAS2
464	BCCIP
465	BCKDHA
466	BCKDK
467	BCL10
468	BCL2
469	BCL2A1
470	BCL2L1
471	BCL2L10
472	BCL2L11
473	BCL2L12
474	BCL2L13
475	BCL2L14
476	BCL2L2
477	BCL6
478	BCL9L
479	BCLAF1
480	BCORL1
481	BCR
482	BCS1L
483	BDKRB1
484	BDKRB2
485	BDNF
486	BDP1
487	BECN1
488	BEGAIN
489	BEND3
490	BET1
491	BET1L
492	BEX3
493	BFAR
494	BFSP1
495	BID
496	BIK
497	BIN2
498	BIN3
499	BIRC2
500	BIRC3
501	BIRC5
502	BIRC6
503	BIRC7
504	BIRC8
505	BIVM
506	BLK
507	BLM
508	BLMH
509	BLVRA
510	BLVRB
511	BLZF1
512	BMF
513	BMP1
514	BMP8A
515	BMPR1A
516	BMS1P1
517	BNC2
518	BNIP1
519	BNIP2
520	BNIP3
521	BNIP3L
522	BOD1L1
523	BOK
524	BORCS6
525	BORCS7
526	BPIFA2
527	BPTF
528	BRAF
529	BRAP
530	BRCA1
531	BRCA2
532	BRD2
533	BRD3
534	BRD4
535	BRD7
536	BRD9
537	BRF1
538	BRF2
539	BRI3
540	BRICD5
541	BRIP1
542	BRIX1
543	BRMS1
544	BROX
545	BRPF1
546	BRWD1
547	BSG
548	BSPRY
549	BST2
550	BTBD1
551	BTBD11
552	BTBD2
553	BTBD7
554	BTBD9
555	BTC
556	BTF3
557	BTG1
558	BTG2
559	BTK
560	BTN2A1
561	BTN2A2
562	BTN3A1
563	BTN3A2
564	BTRC
565	BUB1
566	BUB1B
567	BUB3
568	BUD13
569	BYSL
570	C10ORF111
571	C10ORF35
572	C11ORF57
573	C11ORF58
574	C11ORF65
575	C11ORF68
576	C11ORF72
577	C12ORF29
578	C12ORF4
579	C12ORF43
580	C12ORF56
581	C12ORF65
582	C12ORF73
583	C14ORF1
584	C14ORF119
585	C14ORF159
586	C14ORF166
587	C14ORF2
588	C14ORF93
589	C15ORF52
590	C17ORF62
591	C17ORF64
592	C17ORF77
593	C17ORF80
594	C18ORF21
595	C18ORF54
596	C19ORF24
597	C19ORF33
598	C19ORF43
599	C19ORF48
600	C19ORF53
601	C19ORF54
602	C19ORF60
603	C19ORF66
604	C1D
605	C1ORF109
606	C1ORF112
607	C1ORF116
608	C1ORF123
609	C1ORF159
